Date	Day	Cases	Deaths	Recovered	Severe	CloseContact	UnderObservation	NoLongerObserved	InHospital	Suspected	InQuanrantine	SevereModerate	SevereHigh
20200119	19	198	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20200120	20	270	6	25	63	1070	331	739	239	NA	NA	51	12
20200121	21	375	9	28	88	1181	426	755	338	NA	NA	65	23
20200122	22	444	17	28	95	2556	1693	863	399	NA	NA	71	24
20200123	23	549	24	31	129	3653	2776	877	494	NA	NA	106	23
20200124	24	729	39	32	157	5682	4711	971	658	NA	NA	100	57
20200125	25	1052	52	42	129	7989	6904	1085	NA	NA	NA	NA	NA
20200126	26	1423	76	44	290	10394	9103	1291	NA	NA	NA	221	69
20200127	27	2714	100	47	690	16904	15559	1345	2567	NA	NA	563	127
20200128	28	3554	125	80	899	22095	20366	1729	3349	NA	NA	671	228
20200129	29	4586	162	90	988	28780	26632	2148	4334	NA	NA	711	277
20200130	30	5806	204	116	1094	35144	32340	2804	5486	NA	NA	804	290
20200131	31	7153	249	166	1294	41075	36838	4237	6738	NA	NA	956	338
20200201	32	9074	294	215	1562	48571	43121	5450	8565	NA	NA	1118	444
20200202	33	11177	350	295	1701	56088	48171	7917	9618	NA	NA	1223	478
20200203	34	13522	414	396	2143	68988	58544	10444	10990	NA	NA	1567	576
20200204	35	16678	479	520	2520	81039	66764	14275	12627	NA	NA	1809	711
20200205	36	19665	549	633	3084	90997	64127	26870	14314	NA	NA	2328	756
20200206	37	22112	618	817	4002	101599	64057	37542	15804	NA	NA	3161	841
20200207	38	24953	699	1115	5195	114044	67802	46242	19835	NA	NA	4188	1007
20200208	39	27100	780	1439	5247	123827	70438	53389	20993	23638	12918	4093	1154
20200209	40	29631	871	1795	5505	132555	73127	59428	22160	18438	14388	4269	1236
20200210	41	31728	974	2222	6344	144279	76207	68072	25087	16687	17259	5046	1298
20200211	42	33366	1068	2639	7241	152251	77195	NA	26121	11295	15514	5724	1517
20200212	43	48206	1310	3441	7084	158377	77308	NA	33693	9028	6126	5647	1437
20200213	44	51986	1318	3862	9278	166818	77685	NA	36719	6169	5352	7593	1685
20200214	45	54406	1457	4774	10152	176148	77323	NA	38107	5534	5149	8276	1876
